Organization Name,Organization Name URL,Categories,Description,CB Rank (Company),Number of Employees,Last Funding Date,Founded Date,Founded Date Precision,LinkedIn,Website,Contact Email,Phone Number,Hub Tags,Founders,Last Funding Type,Funding Status,Closed Date,Closed Date Precision,Number of Founders,Top 5 Investors,Price,Price Currency,Price Currency (in USD),Number of Acquisitions,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD)
Thirstie,https://www.crunchbase.com/organization/thirstie,"B2B, Delivery, E-Commerce, Enterprise Software, Food and Beverage, Wine And Spirits",E-commerce solutions for beverage alcohol brands.,"7,272",11-50,2019-03-28,2014-04-01,day,https://www.linkedin.com/company/thirstie,https://thirstie.com,inquiries@thirstie.com,,,"Devaraj Southworth, Maxim Razmakhin",Series A,Early Stage Venture,,,2,"SWAT Equity Partners, Queens Court Capital, Brian Finn, Joseph Plumeri, Richard Kirshenbaum",,,,1,,,
Pax8,https://www.crunchbase.com/organization/pax8,"E-Commerce, Enterprise Software, Marketplace","Pax8, Inc. is a cloud commerce marketplace focused on the delivery of cloud-based solutions to a global network of channel partners.","7,421",11-50,2019-02-08,2012-01-01,year,http://www.linkedin.com/company/pax8,http://pax8.com,info@pax8.com,1(855)884-8,,John Street,Venture - Series Unknown,,,,1,FirstMile Ventures,,,,,13300000,USD,13300000
Donde Search,https://www.crunchbase.com/organization/donde-search,"Artificial Intelligence, Computer Vision, E-Commerce, Fashion, Machine Learning, Mobile, Retail Technology, Search Engine, Shopping, Visual Search","Transforming the online shopping experience using AI, Computer Vision and NLP to develop Intuitive Visual Discovery for Retailers","7,592",11-50,2019-02-15,2014-03-17,day,https://www.linkedin.com/company/dondesearch/,http://www.dondesearch.com,liat@dondesearch.com,(650) 687-7747,,"Liat Zakay, Shai Katzir",Series A,Early Stage Venture,,,2,"Golden Seeds, UpWest, Matrix Partners, AfterDox",,,,,6500000,USD,6500000
MatHem,https://www.crunchbase.com/organization/mathem,"E-Commerce, Food and Beverage, Grocery, Internet",Sweden's largest online grocery store with above SEK 1 billion in sales in 2016 and continued high growth.,"7,696",251-500,2019-02-14,2009-01-01,year,https://www.linkedin.com/company/www-mathem-se,https://www.mathem.se/,info@mathem.se,(462)015-1010,,"Beata Kull, Karolin Kull",Venture - Series Unknown,,,,2,"GP Bullhound, Kinnevik AB, Verdane Capital, Karl-Johan Persson, Anders Holch Povlsen",,,,2,86000000,EUR,97135847
Clare,https://www.crunchbase.com/organization/clare-paint,"Consumer Goods, E-Commerce, Green Consumer Goods, Home Decor",Clare is a modern paint brand that’s completely reinventing the paint shopping experience.,"7,730",1-10,2019-04-01,2018-01-01,year,https://www.linkedin.com/company/clareinc/,https://www.clare.com/,crew@clare.com,,,Nicole Gibbons,Convertible Note,Seed,,,1,"First Round Capital, Bullish, Brooklyn Bridge Ventures, Neil Parikh, Secocha Ventures",,,,,2255000,USD,2255000
ELSE Corp,https://www.crunchbase.com/organization/else-corp,"3D Printing, 3D Technology, Artificial Intelligence, Cloud Computing, E-Commerce, Fashion, Internet of Things, Retail Technology, SaaS","ELSE Corp is an Italian B2B and B2B2C startup, designing new technological solutions for Virtual Retail and Cloud Manufacturing","7,744",11-50,2019-05-01,2014-07-29,day,https://www.linkedin.com/company/else-corp,http://www.else-corp.com,info@else-corp.it,,,"Andrea Silvestri, Andrey Golub, Zoran Radumilo",Angel,Seed,,,3,Intesa Sanpaolo,,,,,250000,EUR,280060
Your Super,https://www.crunchbase.com/organization/your-superfoods,"E-Commerce, Food and Beverage, Marketplace",Your Super inspires people to live healthier and happier with our organic superfood mixes,"8,088",1-10,2019-01-23,2014-01-01,year,https://www.linkedin.com/company/5310180/,https://yoursuper.com/,happy@yoursuper.com,+1 (213) 5505532,,"Kristel de Groot, Michael Kuech",Series A,Early Stage Venture,,,2,"PowerPlant Ventures, Döhler Ventures",,,,,5000000,USD,5000000
Paper Boat,https://www.crunchbase.com/organization/hector-beverages,"E-Commerce, Food and Beverage, Green Consumer Goods",Paper Boat is an e-commerce platform that sells beverages which are based on scientific observation and analysis of nature.,"8,495",11-50,2019-03-21,2009-01-01,year,,http://www.paperboatdrinks.com/,paperboat@hectorbeverages.com,1(860)425-4425,,"James Nuttall, Neeraj Kakkar, Suhas Misra",Venture - Series Unknown,M&A,,,3,"Sequoia Capital India, Trifecta Capital Advisors, Hillhouse Capital Group, A91 Partners, Catamaran Ventures",,,,,1450000,USD,1450000
Markable,https://www.crunchbase.com/organization/markable,"Artificial Intelligence, Developer APIs, E-Commerce, Image Recognition, Internet, SaaS, Visual Search",MARKABLE™ - See Differently - powered by visual recognition AI technology.,"8,624",11-50,2019-05-08,2016-01-01,day,https://www.linkedin.com/company/markable,https://markable.ai,contact@markable.ai,,,Joy Tang,Series A,Early Stage Venture,,,1,"Alumni Ventures Group, MassChallenge, SeedInvest, Plum Alley, Cheetah Mobile",,,,,5000000,USD,5000000
Skylar,https://www.crunchbase.com/organization/skylar-body,"Beauty, Consumer Goods, Cosmetics, E-Commerce, Sales",Skylar designs an online retail platform that offers clean and consciously crafted fragrances that inspire happiness.,"8,654",,2019-02-13,2017-04-25,day,https://www.linkedin.com/company/skylarbody/,http://skylarbody.com/,hello@skylarbody.com,,,Cat Chen,Series A,Early Stage Venture,,,1,"FirstMark, Upfront Ventures, Brian Lee, Amplify.LA, GingerBread Capital",,,,,8000000,USD,8000000
FanFood,https://www.crunchbase.com/organization/fanfood,"E-Commerce, Food and Beverage, Food Delivery, Mobile Apps, Sports",Order your favorite concessions directly from your smartphone.,"8,666",1-10,2019-03-06,2016-02-01,day,https://www.linkedin.com/company/10676785/,http://www.fanfoodapp.com/,info@fanfoodapp.com,(515) 450-4919,,"Carson Goodale, Dustin Hemesath, Elijah Doetsch, Grant Goodale, Will Anderson",Seed,Seed,,,5,"UCLA Ventures, HYPE Capital, Phoenix Capital",,,,,2045964,USD,2045964
Amify,https://www.crunchbase.com/organization/amify,"E-Commerce, Internet, Retail","Amify is a full-service strategy, creative and operational partner helping brands selling on Amazon optimize their presence & profitability","8,723",51-100,2019-01-22,2010-01-01,year,https://www.linkedin.com/company/amify/,https://goamify.com/,,703.570.4108,,Ethan McAfee,Series A,Early Stage Venture,,,1,"CincyTech, Dundee Venture Capital, Mercury Fund, SaaS Ventures, Nigel Morris",,,,,5800000,USD,5800000
AWOK.com,https://www.crunchbase.com/organization/awok-com,"Consumer Electronics, Content Discovery, E-Commerce, Mobile, Shopping",AWOK.com is one of the leading mass market E-Commerce businesses offering affordable products in UAE and KSA with  mobile centric approach,"8,723",501-1000,2019-04-08,2013-04-04,day,https://www.linkedin.com/company/3565726?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3565726%2Cidx%3A1-1-1%2CtarId%3A1456385331547%2Ctas%3Aawok,http://www.awok.com,pr@awok.com,+971 - 43604201,,Ulugbek Yuldashev,Series A,Early Stage Venture,,,1,"Endeavor Catalyst, StonePine ACE Partners, Al Faisaliah Ventures",,,,,30000000,USD,30000000
Heyday,https://www.crunchbase.com/organization/heyday,"Artificial Intelligence, E-Commerce, Marketing, Messaging",Heyday is an AI-powered chat platform for e-commerce,"8,757",11-50,2019-04-25,2017-06-01,day,https://www.linkedin.com/company/heyday.ai/,http://heyday.ai/,humans@heyday.ai,+1 514.267.5984,,"David Bordeleau, Hugues Rousseau, Steve Desjarlais, Étienne Mérineau",Seed,Seed,,,4,"Creative Destruction Lab, Desjardins Venture Capital, Innovobot",,,,,2000000,USD,2000000
RedCarpetUp,https://www.crunchbase.com/organization/redcarpetup,"Consumer Lending, Credit, E-Commerce, FinTech, Mobile Payments","RedCarpet lends to customers in India to finance their online purchases - ecommerce, travel, etc.","8,993",11-50,2019-03-27,2015-05-01,month,https://www.linkedin.com/company/9322676,https://www.redcarpetup.com,sss@redcarpetup.com,+91-11-30506200,,"Abhay Tamaria, Kartik Venkataraman, Sandeep Srinivasa",Venture - Series Unknown,,,,3,"Y Combinator, Lightspeed Venture Partners, Google Launchpad Accelerator, Lightspeed India Partners",,,,,3890000,USD,3890000
Winky Lux,https://www.crunchbase.com/organization/winky-lux,"Beauty, Cosmetics, E-Commerce, Fashion",Winky Lux is a line of color cosmetics made from the highest quality ingredients known to woman-kind.,"9,024",,2019-05-24,2015-01-01,year,,https://www.winkylux.com,info@glowconcept.com,(646)692-4341,,"Natalie Mackey, Nathan Newman",Venture - Series Unknown,,,,2,"GGV Capital, Female Founders Fund, Finn Capital Partners, BBG Ventures, SoGal Ventures",,,,,,,
Swappie,https://www.crunchbase.com/organization/swappie,"Consumer Electronics, Consumer Goods, E-Commerce, Marketplace",Swappie is a technology company which allows refurbished phones to go mainstream. Swappie operates in EU & Nordics and is growing strongly.,"9,066",11-50,2019-05-28,2016-08-01,day,https://www.linkedin.com/company/swappie/,https://swappie.com/,info@swappie.com,+358443443476,,"Jiri Heinonen, Sami Marttinen",Series A,Early Stage Venture,,,2,"Inventure, Lifeline Ventures, Reaktor Ventures",,,,,5600000,USD,5600000
Phlur,https://www.crunchbase.com/organization/phlur,"E-Commerce, Internet",PHLUR is a fragrance-developing company introducing novel sampling processes to its customers.,"9,223",11-50,2019-05-29,2015-01-01,year,,https://www.phlur.com,support@phlur.com,(888)771-9434,,Eric Korman,Series A,Early Stage Venture,,,1,"Next Coast Ventures, Symrise, Joey Levin, Belcorp Ventures, Eric Korman",,,,1,7000000,USD,7000000
Allure Systems,https://www.crunchbase.com/organization/allure-systems,"3D Technology, Artificial Intelligence, Augmented Reality, E-Commerce, Fashion, Image Recognition, Retail Technology, SaaS",Allure Systems uses AI to produce apparel images for eCommerce.,"9,282",11-50,2019-03-18,2017-03-01,day,https://www.linkedin.com/company/allure-systems/,http://www.alluresystems.com/,,,,"Gabrielle Chou, Jeremy Chamoux",Seed,Seed,,,2,"Y Combinator, CapHorn Invest, Pioneer Fund, Oyster Ventures, Locus Ventures",,,,,150000,USD,150000
Proactis,https://www.crunchbase.com/organization/proactis,"E-Commerce, Software","Proactis provides Spend Management and B2B eCommerce solutions to help organisations eliminate wasted time, money and talent.","9,412",251-500,2019-02-28,1996-01-01,year,https://www.linkedin.com/company/proactis-group,http://www.proactis.com,info@proactis.com,+44 1937 545070,,,Venture - Series Unknown,IPO,,,,HSBC,,,,8,20000000,GBP,26527767
Weengs,https://www.crunchbase.com/organization/weengs,"E-Commerce, Logistics, Shipping, Supply Chain Management",Weengs provides all the logistics services people need to build and grow their e-commerce businesses.,"9,417",51-100,2019-04-18,2015-03-04,day,https://www.linkedin.com/company/9333235/,http://weengs.co.uk,hello@weengs.co.uk,+44 20 3865 5123,,"Alex Christodoulou, Greg Zontanos, Pierfrancesco Ronzi",Series A,Early Stage Venture,,,3,"Seedcamp, LocalGlobe, Cherry Ventures, VentureFriends, Oxford Capital Partners",,,,,6500000,GBP,8445188
Welcome Pickups,https://www.crunchbase.com/organization/welcome-pickups,"E-Commerce, Transportation, Travel","Welcome is redefining the in-destination travel experience by making it easy, friendly, and personalized through a single touch point.","9,431",51-100,2019-03-20,2015-01-01,day,https://www.linkedin.com/company/welcomepickups,https://www.welcomepickups.com,hello@welcomepickups.com,+1 877-255-8178,,"Alexandros Trimis, Savvas Georgiou",Series A,Early Stage Venture,,,2,"Market One Capital, VentureFriends, Openfund, Galata Business Angels, Alejandro Artacho",,,,,3300000,EUR,3771398
BabelBark,https://www.crunchbase.com/organization/babelbark,"E-Commerce, Pet, Software, Veterinary","BabelBark is a mobile app and software platform that connects pet parents, pet vendors and veterinarians in one ecosystem","9,778",1-10,2019-04-16,2015-03-01,day,https://www.linkedin.com/company/babelbark,http://www.babelbark.com/,info@babelbark.com,+1 (206) 707-2454,,"Bill Rebozo, Roy Stein",Venture - Series Unknown,,,,2,,,,,,2815945,USD,2815945
Zenloop,https://www.crunchbase.com/organization/zenloop,"E-Commerce, SaaS, Software",Zenloop is a NPS feedback management platform.,"9,863",11-50,2019-02-22,2016-01-01,year,https://www.linkedin.com/company/zenloop/,https://www.zenloop.com/en,hello@zenloop.com,,,"Bjorn Kolbmuller, Lukasz Lazewski, Paul Schwarzenholz",Seed,Seed,,,3,"Piton Capital, Nauta Capital",,,,,4800000,EUR,5441991
Haute Hijab,https://www.crunchbase.com/organization/haute-hijab,"E-Commerce, Fashion, Retail","Haute HIjab is the leading US hijab brand that operates at the intersection of fashion, technology, and retail.","9,877",1-10,2019-02-11,2010-03-01,month,https://www.linkedin.com/company/haute-hijab,https://www.hautehijab.com,hello@hautehijab.com,877-412-6591,,"Ahmed Zedan, Melanie Elturk",Seed,Seed,,,2,"AngelList, Maveron, Muse Capital, Ludlow Ventures, Sinai Ventures",,,,,2300000,USD,2300000
Aspectiva,https://www.crunchbase.com/organization/aspectiva,"Artificial Intelligence, E-Commerce, Internet, Machine Learning, Natural Language Processing, Retail, Retail Technology",Turn Product Reviews into a Smarter Shopping Experience,"9,928",11-50,2019-02-26,2013-01-01,year,https://www.linkedin.com/company/aspectiva,http://www.aspectiva.com,info@aspectiva.com,,,"Eyal Hurwitz, Ezra Daya",Venture - Series Unknown,M&A,,,2,"Global Brain Corporation, LivePerson, Jerusalem Venture Partners (JVP), Reinvent VC, Union Five",,,,,4000000,USD,4000000
SparesHub,https://www.crunchbase.com/organization/spareshub,"Automotive, E-Commerce","SparesHub is an online store for buying car spare parts online, easily and fast in India.","9,993",1-10,2019-03-14,2013-09-10,day,https://www.linkedin.com/company/9265065?trk=tyah&trkInfo=idx%3A1-1-1%2CtarId%3A1425292061166%2Ctas%3A+SparesHub+,http://www.spareshub.com,contact@spareshub.com,020-65202588,,"Arijit Chakraborty, Tapas Gupta",Venture - Series Unknown,,,,2,"The Chennai Angels, Hyderabad Angels, Anthill Ventures, M&S Partners, Ankur Agarwal",,,,,35000000,INR,504770
SimplyCook,https://www.crunchbase.com/organization/simplycook,"Cooking, E-Commerce, Food Processing",SimplyCook offers home recipe kits with easy step-by-step guides to cook restaurant quality food in less than 20 minutes.,"10,325",11-50,2019-01-18,2013-01-01,year,https://www.linkedin.com/company/5298205,http://simplycook.com,Hello@simplycook.com,+02071602177,,Oli Ashness,Series A,Early Stage Venture,,,1,"500 Startups, Crowdcube, Episode 1, Octopus Investments, Maxfield Capital",,,,,4500000,GBP,5794638
Merqueo,https://www.crunchbase.com/organization/merqueo,"Delivery, E-Commerce, Food and Beverage, Grocery",Merqueo is an online-based grocery delivery in Colombia.,"10,329",101-250,2019-02-10,2015-11-01,day,,http://www.merqueo.com,,,,"Jose Guillermo Calderon, Miguel Mc Allister, Sebastian Noguera Escallón",Series A,Early Stage Venture,,,3,"Endeavor Catalyst, Mountain Nazca, Velum Ventures, Portland Private Equity",,,,,14000000,USD,14000000
Hatch Collection,https://www.crunchbase.com/organization/hatch-collection,"E-Commerce, Fashion, Lifestyle","A collection of chic, timeless and comfortable wardrobe essentials to wear before, during and after pregnancy","10,336",,2019-05-13,2011-01-01,year,,https://www.hatchcollection.com,,,,Ariane Goldman,Series A,Early Stage Venture,,,1,"Silas Capital, M3 Ventures, Black Jays Investments, SWAT Equity Partners, Stage 1 Fund",,,,,5000000,USD,5000000
RADAR,https://www.crunchbase.com/organization/goradar,"Computer Vision, E-Commerce, Retail, RFID, Wireless","RADAR is an RFID and computer vision platform that automates inventory management, analytics and checkout in physical stores.","10,350",11-50,2019-03-28,2013-01-01,year,https://www.linkedin.com/company/10894576/,https://goradar.com,hello@goradar.com,,,"Adam Blair, Michael E. Murphy, Spencer Hewett",Series A,Early Stage Venture,,,3,"Y Combinator, NTT DOCOMO Ventures, Pathfinder, Sound Ventures, Colle Capital Partners",,,,,16000000,USD,16000000
SIRCLO,https://www.crunchbase.com/organization/sirclo,"E-Commerce, E-Commerce Platforms, SaaS",SIRCLO is Indonesia's leading eCommerce technology company empowering businesses sell online.,"10,490",51-100,2019-03-29,2013-01-01,year,https://www.linkedin.com/company/sirclo,http://www.sirclo.com,info@sirclo.com,+6221 631 5164,,"Brian Marshal, Leontius Adhika Pradhana",Series A,Early Stage Venture,,,2,Google Launchpad Accelerator,,,,,5000000,USD,5000000
Maude Group,https://www.crunchbase.com/organization/maude-group,"Consumer Goods, E-Commerce, Personal Health, Wellness",Maude Group creates modern sex essentials that encourage a happy and healthy sex life.,"10,534",1-10,2019-03-16,2017-01-01,year,https://www.linkedin.com/company/get-maude/,https://getmaude.com,orders@getmaude.com,,,"Dina Epstein, Eva Goicochea",Seed,Seed,,,2,"RRE Ventures, XFactor Ventures, CASSIUS Family, Outbound Ventures, Bryan Rosenblatt",,,,,1500000,USD,1500000
